"Classement","Films","Émission","Timestamp","tconst"
"1","Paris, Texas","82","1h 37m 00s","tt0087884"
"2","Robocop","2","0h 47m 39s","tt0093870"
"3","Die Hard","5","1h 04m 26s","tt0095016"
"4","Akira","1","0h 44m 14s","tt0094625"
"5","Blade Runner","0","0h 28m 33s","tt0083658"
"6","Amadeus","79","1h 24m 28s","tt0086879"
"7","Raiders of the Lost Ark","3","0h 46m 48s","tt0082971"
"8","The Abyss","6","1h 20m 25s","tt0096754"
"9","The Thing","2","0h 55m 19s","tt0084787"
"10","Fitzcarraldo","224","1h 20m 08s","tt0083946"
"11","Zu, les guerriers de la montagne magique","125","0h 41m 24s","tt0086308"
"12","Il était une fois en Amérique","47","0h 15m 06s","tt0087843"
"13","Indiana Jones et la dernière croisade","80","1h 31m 24s","tt0097576"
"14","Requiem pour un massacre","82","1h 11m 26s","tt0091251"
"15","Full Metal Jacket","4","1h 07m 02s","tt0093058"
"16","Videodrome","82","1h 26m 54s","tt0086541"
"17","Back to the Future","0","0h 14m 20s","tt0088763"
"18","Mon voisin Totoro","5","0h 05m 33s","tt0096283"
"19","Merry Christmas, Mr. Lawrence","4","0h 59m 42s","tt0085933"
"20","The Fly","6","1h 13m 14s","tt0091064"
"21","A bout de course","82","0h 36m 02s","tt0096018"
"22","Wall Street","165","0h 38m 59s","tt0094291"
"23","Conan le barbare","52","1h 02m 07s","tt0082198"
"24","Mad Max 2 : Le Défi","160","1h 11m 26s","tt0082694"
"25","Le chateau dans le ciel","76","1h 03m 16s","tt0092067"
"26","Koyaanisqatsi, la prophétie","162","0h 53m 20s","tt0085809"
"27","L’arme fatale","48","0h 38m 40s","tt0093409"
"28","Body Double","50","0h 23m 34s","tt0086984"
"29","Mississippi Burning","129","0h 28m 16s","tt0095647"
"30","Poltergeist","166","0h 44m 38s","tt0084516"
"31","Les incorruptibles","47","0h 26m 38s","tt0094226"
"32","Honkytonk Man","160","1h 31m 36s","tt0084088"
"33","Raging Bull","47","0h 05m 27s","tt0081398"
"34","E.T","1","0h 57m 31s","tt0083866"
"35","Elephant Man","3","0h 56m 23s","tt0080678"
"36","Predator","0","0h 23m 40s","tt0093773"
"37","Do the right thing","52","0h 19m 43s","tt0097216"
"38","City on Fire","78","0h 45m 37s","tt0093435"
"39","Kagemusha","81","0h 29m 48s","tt0080979"
"40","Les 8 diagrammes de Wu-Lang","112","0h 49m 07s","tt0086606"
"41","Police Story","4","0h 41m 55s","tt0089374"
"42","Jack Burton dans les griffes du Mandarin","46","0h 04m 44s","tt0090728"
"43","Sexe, mensonges et vidéo","50","0h 06m 29s","tt0098724"
