"Classement","Films","Émission","Timestamp"
"1","Les fils de l’homme","99","1h 49m 18s"
"2","Mulholland Drive","182","0h 51m 30s"
"3","Memories of Murder","31","1h 14m 18s"
"4","No country for old men","40","1h 23m 52s"
"5","History of Violence","25","1h 05m 25s"
"6","Mother","67","0h 27m 20s"
"7","JSA","61","1h 37m 35s"
"8","Millenium Actress","25","1h 31m 22s"
"9","Le Voyage de Chihiro","32","0h 17m 01s"
"10","La graine et le mulet","35","0h 57m 16s"
"11","The Host","24","0h 28m 22s"
"12","Exilé","64","1h 08m 01s"
"13","Eternal Sunshine of the Spotless Mind","27","1h 06m 40s"
"14","Elephant","148","0h 09m 49s"
"15","La cité de Dieu","64","0h 51m 03s"
"16","Y tu mamá tambien","63","1h 15m 04s"
"17","The yards","43","0h 04m 50s"
"18","Time & Tide","99","1h 32m 40s"
"19","Infernal Affairs","68","0h 46m 02s"
"20","Casino Royale","63","2h 07m 04s"
"21","The Assassination of Jesse James by the Coward Robert Ford","36","1h 02m 43s"
"22","Ghost World","146","1h 13m 59s"
"23","OSS 117: Le Caire, nid d’espions","24","1h 56m 56s"
"24","Le retour","26","1h 08m 26s"
"25","Old Boy","40","1h 12m 33s"
"26","Kiss Kiss Bang Bang","145","0h 20m 40s"
"27","Hot Fuzz","33","0h 57m 38s"
"28","Shaun of the Dead","24","0h 04m 37s"
"29","Collateral","64","1h 22m 39s"
"30","Les noces rebelles","146","0h 36m 36s"
"31","De battre mon coeur s’est arrêté","95","0h 34m 29s"
"32","Ip Man","26","0h 45m 49s"
"33","Volver","32","0h 06m 16s"
"34","Arrivederci amore, ciao","149","0h 49m 20s"
"35","Les infiltrés","146","0h 22m 17s"
"36","La vie des autres","40","0h 41m 35s"
"37","Bug","67","1h 12m 31s"
"38","Ratatouille","26","1h 23m 51s"
"39","Les beaux gosses","28","1h 35m 42s"
"40","Monsters inc.","24","0h 23m 16s"
"41","Match Point","25","0h 26m 18s"
"42","Brokeback Mountain","36","1h 10m 36s"
"43","Apocalypto","33","0h 48m 25s"
"44","Le nouveau monde","66","1h 34m 54s"
"45","Les Promesses de l'ombre","182","0h 13m 40s"
"46","Mysterious Skin","40","0h 08m 18s"
"47","L'effet papillon","181","0h 56m 24s"
"48","The Wrestler","31","0h 47m 09s"
"49","Valse avec Bachir","27","0h 05m 30s"
"50","Wall-E","39","0h 17m 05s"
"51","Lost in Translation","24","1h 27m 51s"
"52","We own the night","31","1h 26m 47s"
"53","The Dark Knight","63","1h 45m 48s"
"54","Bully","65","0h 28m 00s"
"55","La 25ème heure","36","0h 23m 21s"
"56","OSS 117 : Rio ne répond plus","67","0h 07m 13s"
"57","Grizzly man","68","1h 10m 12s"
"58","Lost in la Mancha","35","0h 42m 28s"
"59","Morse","24","0h 18m 43s"
"60","Million Dollar Baby","62","0h 32m 52s"
"61","Goodbye Lenin","32","0h 11m 39s"
"62","Munich","24","1h 51m 59s"
"63","Gran Torino","25","0h 55m 03s"
"64","Les indestructibles","99","0h 12m 30s"
"65","Là-haut","25","0h 14m 44s"
"66","Le samourai du crépuscule","26","0h 32m 12s"
"67","28 Days Later","34","0h 28m 46s"
"68","Speed Racer","41","1h 08m 06s"
"69","Sunshine","42","0h 08m 09s"
"70","Two Lovers","38","1h 24m 04s"
"71","The Chaser","24","0h 48m 18s"
"72","Jarhead - La fin de l'innocence","148","1h 10m 34s"
"73","Steak","64","0h 03m 55s"
"74","The Devil’s Rejects","28","0h 15m 42s"
"75","Appaloosa","36","0h 54m 42s"
"76","Rocky Balboa","31","0h 54m 20s"
"77","Le petit lieutenant","98","0h 40m 49s"
"78","Dark Water","181","0h 40m 52s"
"79","Minority Report","98","0h 55m 47s"
"80","Ocean’s Twelve","36","0h 40m 17s"
"81","Persepolis","35","0h 50m 29s"
"82","The Road","34","1h 15m 23s"
"83","Burn after reading","68","0h 19m 48s"
"84","Le vent se lève","148","0h 29m 53s"
"85","Spider-Man","143","0h 07m 44s"
"86","La guerre des mondes","65","1h 46m 01s"
"87","Taken","26","0h 24m 51s"
"88","8 Mile","32","1h 29m 37s"
"89","Iron Man","33","0h 25m 09s"
"90","Zatoichi","26","0h 39m 55s"
"91","Printemps, été, automne, hiver et printemps","25","1h 25m 56s"
"92","Gladiator","43","0h 20m 42s"
"93","Max et les Maximonstres","96","0h 18m 44s"
"94","Le plus beau des combats","61","0h 22m 14s"
"95","La vie aquatique","41","0h 32m 11s"
"96","Fucking Kassovitz","37","1h 16m 41s"
"97","Je vais bien, ne t'en fais pas","144","0h 10m 15s"
"98","Innocence: Ghost in the Shell 2","27","0h 28m 48s"
"99","Les autres","28","0h 04m 37s"
"100","The Hurt Locker / Démineurs","24","1h 35m 57s"
"101","Almost Famous","63","0h 45m 58s"
"102","Kung Fu Hustle","27","1h 17m 02s"
"103","Kill Bill: Volume I","149","1h 29m 41s"
"104","Sherlock Holmes","145","0h 35m 15s"
"105","Batman Begins","26","0h 14m 57s"
"106","Harry, un ami qui vous veut du bien","141","0h 28m 10s"
"107","L’orphelinat","62","1h 36m 02s"
"108","Le fabuleux destin d’Amelie Poulain","26","1h 30m 59s"
"109","Etre et avoir","28","1h 22m 07s"
"110","Tropic Thunder","30","1h 00m 58s"
"111","Huit femmes","39","0h 53m 50s"
"112","La vague","40","0h 32m 23s"
"113","Le Pianiste","38","0h 09m 10s"
"114","Black Book","35","1h 16m 18s"
"115","O’Brother","32","1h 20m 17s"
"116","Arrête-moi si tu peux","146","0h 11m 58s"
"117","La pianiste","95","0h 16m 47s"
"118","La chute","40","0h 55m 51s"
"119","La Tour Montparnasse infernale","32","1h 02m 46s"
"120","Prête moi ta main","30","0h 07m 26s"
"121","Little Miss Sunshine","28","0h 55m 09s"
"122","Gangs of New York","26","0h 06m 38s"
"123","La princesse et la grenouille","147","0h 30m 16s"
"124","Le mariage de Tuya","62","1h 26m 18s"
"125","Ponyo sur la falaise","31","0h 30m 47s"
"126","Nid de guêpes","65","0h 20m 09s"
"127","When you’re strange","36","0h 06m 33s"
"128","Le Monde de Nemo","147","0h 08m 41s"
"129","JCVD","31","1h 02m 29s"
"130","Kamikaze Girls","66","1h 20m 37s"
"131","Bliss","146","1h 24m 11s"
"132","Black Snake Moan","144","1h 19m 16s"
"133","L’auberge espagnole","30","0h 38m 33s"
"134","Sin City","27","0h 18m 44s"
"135","« 2046 »","25","1h 19m 28s"
"136","Le pacte des loups","27","0h 54m 50s"
"137","Carnets de voyage","63","1h 00m 19s"
"138","X-Men 2","143","0h 30m 04s"
"139","Mar Adentro","62","0h 19m 43s"
"140","X-Men","33","0h 12m 57s"
"141","Le bon, la brute et le cinglé","41","0h 24m 30s"
"142","Walk the line","43","0h 14m 46s"
"143","Le scaphandre et le papillon","62","0h 06m 45s"
"144","The Darjeeling Limited","30","0h 31m 43s"
"145","Lilo & Stich","39","0h 07m 02s"
"146","Mensonges et trahisons et plus si affinités","34","0h 50m 06s"
"147","La saveur de la pastèque","25","1h 49m 29s"
"148","Paranormal Activity","33","1h 13m 14s"
"149","Le mystère de la chambre jaune","67","1h 23m 54s"
"150","Marley et moi","43","0h 30m 09s"
"151","Vicky Cristina Barcelona","38","1h 13m 30s"
"152","Superbad","37","1h 25m 26s"
"153","Bowling for Columbine","35","0h 28m 38s"
"154","Podium","39","1h 02m 37s"
"155","Juno","28","1h 03m 26s"
"156","Scary Movie","32","1h 07m 43s"
"157","Narc","31","1h 08m 20s"
"158","Ghosts of Mars","65","0h 52m 41s"
"159","Le Seigneur des anneaux: Le retour du Roi","95","0h 49m 40s"
"160","Kuzco","40","0h 18m 11s"
"161","Into The Wild","61","0h 49m 08s"
"162","A.I","39","1h 30m 45s"
"163","Avalon","30","1h 11m 49s"
"164","Dolls","61","1h 21m 57s"
"165","Le Seigneur des anneaux: Les Deux Tours","24","0h 58m 32s"
"166","Le diable s’habille en Prada","41","0h 08m 21s"
"167","Requiem for a dream","43","0h 47m 47s"
"168","500 days of summer","30","0h 11m 58s"
"169","Panic Room","75","1h 16m 42s"
"170","Girl Next Door","142","0h 10m 49s"
"171","Mean Girls","97","0h 40m 56s"
"172","Saw","28","0h 09m 28s"
"173","Vengeance","30","1h 25m 15s"
"174","V for Vendetta","34","0h 38m 05s"
"175","Les 3 royaumes","35","1h 27m 11s"
"176","Punisher War Zone","41","0h 57m 12s"
"177","The City of Violence","67","0h 16m 54s"
"178","Matrix Reloaded","68","0h 29m 27s"
"179","Bienvenue à Zombieland","149","0h 34m 30s"
"180","Step Brothers","36","0h 11m 08s"
"181","There Will Be Blood","142","0h 25m 17s"
"182","Shaolin Soccer","61","0h 40m 45s"
"183","Les 11 Commandements","32","1h 12m 23s"
"184","Phone Game","181","0h 21m 56s"
"185","Avatar","24","1h 07m 39s"
"186","Les Rivières Pourpres","35","0h 04m 34s"
"187","Le dernier samouraï","63","0h 06m 04s"
"188","Danny The Dog","34","0h 20m 32s"
"189","Visitor Q","25","1h 42m 12s"
"190","Good Night and Good Luck","24","0h 37m 45s"
"191","2012","25","0h 06m 40s"
"192","Fast & Furious 4","149","0h 22m 45s"
"193","The 40-year-old virgin","40","1h 05m 32s"
"194","Charlie et ses drôles de dames","149","1h 07m 14s"
"195","Irreversible","35","0h 12m 46s"
"196","Hyper tension","149","0h 08m 13s"
"197","Intolérable Cruauté","66","0h 52m 32s"
"198","Good Morning England","33","0h 07m 30s"
"199","Martyrs","64","0h 32m 16s"
"200","Trouble Every Day","24","1h 20m 50s"
"201","Seul au monde","37","0h 06m 15s"
"202","Un homme d’exception","66","0h 23m 42s"
"203","American Girls","181","1h 45m 15s"
"204","La journée de la jupe","35","1h 07m 31s"
"205","Zack & Miri make a porno","31","0h 25m 26s"
"206","Mais qui a tué Pamela Rose ?","26","1h 13m 33s"
"207","Trop jeune pour elle !","146","0h 59m 25s"
"208","7 vies","25","0h 48m 15s"
"209","White Chicks","30","0h 48m 44s"
"210","Kingdom of heaven","43","1h 05m 59s"
"211","Matrix Revolutions","95","1h 10m 26s"
"212","Indigènes","66","1h 50m 19s"
"213","Stalingrad","66","0h 11m 25s"
"214","La chute du faucon noir","148","1h 30m 50s"
"215","Harry Potter et la chambre des secrets","24","0h 55m 13s"
"216","Cloverfield","65","1h 16m 29s"
"217","Le secret des poignards volants","149","1h 17m 54s"
"218","Invictus","61","0h 12m 03s"
"219","The Ladykillers","37","0h 23m 19s"
"220","Seuls two","68","1h 00m 46s"
"221","Un secret","75","1h 33m 45s"
"222","Monsieur Batignole","38","0h 20m 10s"
"223","Shanghai Kid","34","0h 07m 40s"
"224","Final Fantasy: Spirit within","33","1h 22m 13s"
"225","The Terminal","37","0h 15m 30s"
"226","Les Simpson: Le film","147","0h 20m 07s"
"227","Public Enemies","36","0h 49m 11s"
"228","King Kong","27","0h 38m 26s"
"229","Baise-moi","31","0h 39m 01s"
"230","Ali G","66","1h 01m 04s"
"231","Big Fish","41","0h 42m 35s"
"232","Hulk","33","0h 34m 02s"
"233","Fenêtre secrète","32","0h 55m 58s"
"234","21 grammes","96","0h 05m 20s"
"235","Driven","43","0h 35m 03s"
"236","Moulin Rouge","26","1h 19m 59s"
"237","Memoire d’une geïsha","25","0h 40m 58s"
"238","Monster","25","0h 36m 20s"
"239","From Hell","32","0h 52m 25s"
"240","The Forbidden Kingdom","27","0h 44m 08s"
"241","Love Actually","30","0h 19m 33s"
"242","Les choristes","28","1h 29m 27s"
"243","The Village","33","0h 40m 30s"
"244","Les clefs de bagnole","64","0h 18m 02s"
"245","La plage","36","0h 31m 20s"
"246","Watchmen","97","0h 56m 14s"
"247","Hannibal","141","0h 42m 30s"
"248","Ensemble, c'est tout","144","0h 25m 03s"
"249","Quantum of Solace","99","0h 29m 33s"
"250","Un long dimanche de fiançailles","34","0h 58m 55s"
"251","Enter the void","39","0h 27m 55s"
"252","The Fountain","42","0h 29m 12s"
"253","Sweeney Todd","32","0h 46m 35s"
"254","In the air","24","0h 43m 55s"
"255","Die Another Day","24","1h 44m 24s"
"256","Les Rivières Pourpres 2","37","0h 44m 34s"
"257","Opération Espadon","41","0h 49m 14s"
"258","Blade Trinity","41","0h 17m 06s"
"259","Les larmes du soleil","30","0h 25m 50s"
"260","Doomsday","30","1h 20m 16s"
"261","Transformers","39","1h 12m 50s"
"262","Eden Log","34","1h 05m 46s"
"263","The Fast and the Furious: Tokyo Drift","63","0h 37m 10s"
"264","Assault sur le central 13","99","1h 00m 17s"
"265","Next","31","0h 08m 04s"
"266","Romeo must die","34","0h 14m 03s"
"267","Troie","38","0h 30m 02s"
"268","The One","67","0h 45m 05s"
"269","Taxi 2","37","0h 58m 17s"
"270","Wanted","42","0h 53m 50s"
"271","The Grudge","65","0h 39m 03s"
"272","Hancock","25","0h 20m 43s"
"273","Predictions","31","0h 13m 58s"
"274","Windtalkers","43","1h 42m 32s"
"275","Michel Vaillant","42","1h 15m 01s"
"276","Babylon A.D","37","1h 12m 42s"
"277","La môme","65","0h 04m 45s"
"278","G.I.Joe: Le réveil du Cobra","63","1h 33m 52s"
"279","Ghost Rider","42","1h 05m 36s"
"280","Terminator: Renaissance","98","0h 05m 50s"
"281","Superman Returns","96","0h 50m 17s"
"282","Benjamin Gates et le livre des secrets","66","0h 36m 31s"
"283","Shaft","144","1h 04m 18s"
"284","Coco","65","1h 04m 53s"
"285","Les 4 Fantastiques","143","0h 51m 12s"
"286","Disco","147","1h 00m 20s"
"287","The Punisher","182","0h 33m 16s"
"288","Star Wars II: l’attaque des clones","43","1h 23m 37s"
"289","Les chansons d’amour","39","0h 40m 55s"
"290","Sheitan","35","0h 21m 15s"
"291","Phénomènes","99","0h 48m 40s"
"292","The Wicker Man","31","0h 19m 42s"
"293","The Da Vinci Code","37","0h 29m 00s"
"294","Bienvenue chez les ch’tis","61","1h 07m 15s"
"295","Yamakasi","62","1h 50m 10s"
"296","Brice de Nice","61","0h 58m 40s"
"297","Sexy Boys","39","1h 41m 16s"
"298","Charlie et la Chocolaterie","43","0h 42m 07s"
"299","Garden State","28","1h 13m 30s"
"300","Street Fighter : la légende de Chun-Li","43","1h 16m 51s"
"301","Alexander","43","1h 00m 03s"
"302","Constantine","98","0h 25m 25s"
"303","Banlieue 13","99","1h 12m 14s"
"304","Iznogoud","28","0h 36m 45s"
"305","Daredevil","24","0h 10m 43s"
"306","Samouraïs","26","0h 56m 07s"
"307","Braquage à l'italienne","131","0h 03m 54s"
"308","Elektra","97","0h 25m 06s"
"309","Battle Royale II","32","0h 33m 29s"
"310","3 zéros","67","0h 55m 12s"
"311","La Planète des singes","27","0h 47m 22s"
"312","Carlito’s way: rise to power","32","0h 41m 12s"
"313","Gamer","33","1h 04m 55s"
"314","Bloody Mallory","147","1h 16m 16s"
"315","The Spirit","42","0h 43m 17s"
"316","Ultraviolet","68","1h 27m 08s"
"317","Six-Pack","111","0h 15m 47s"
"318","Transformers 2","38","0h 54m 39s"
"319","7 ans de séduction","142","0h 41m 26s"
"320","Camping","147","0h 48m 51s"
"321","De l'autre côté du lit","145","0h 54m 35s"
"322","Pearl Harbour","97","0h 06m 31s"
"323","Final Fantasy VII: Advent Children","95","1h 24m 54s"
"324","Ultimate Game","68","1h 52m 50s"
"325","Brocéliande","147","1h 28m 21s"
"326","300","142","0h 54m 06s"
"327","The Room","67","1h 36m 06s"
"328","La beuze","62","1h 15m 19s"
"329","Des serpents dans l'avion","144","1h 13m 36s"
"330","Angel-A","62","1h 11m 09s"
"331","Wasabi","63","0h 22m 44s"
"332","Incontrôlable","145","1h 18m 55s"
"333","Arsène Lupin","66","1h 12m 31s"
"334","40 jours et 40 nuits","141","0h 15m 32s"
"335","Cube 2","68","1h 44m 36s"
"336","Taking Lives: Destins violés","181","1h 32m 22s"
"337","Les bronzés 3","32","0h 26m 17s"
"338","Le raid","38","0h 43m 23s"
"339","Agathe Clery","30","0h 54m 41s"
"340","Cinéman","28","0h 45m 10s"
"341","Dragon Ball Evolution","43","1h 33m 40s"
"342","L'extraterrestre","145","1h 10m 18s"
"343","T’aime","96","0h 33m 15s"
"344","Le jour où la Terre s’arrêta","65","1h 33m 42s"
"345","Astérix aux Jeux Olympiques","28","0h 24m 40s"
"346","Catwoman","62","0h 54m 32s"
"347","Les visiteurs en Amérique","148","0h 51m 25s"
"348","Battlefield Earth","145","1h 34m 58s"
